"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"L60-N17","S5_L60_N17",8.83,"S5","Leaf","2019-06-07","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","N17","Growing",78.05,5.505,9,71,NA,4,1.1,0.275,7.02,2.16,1.372170031,42.58379173,"L60-N17",31.0339030644519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"L66-J17","S5_L66_J17",9.71,"S5","Leaf","2019-01-29","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","J17","Non-Growing",62.575,4.6195,6,63,NA,NA,NA,NA,6.84,1.21,1.260219038,42.59505463,"L66-J17",33.799723179551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"L66-N16","S5_L66_N16",10.8,"S5","Leaf","2017-07-10","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","N16","Growing",72.898,3.94666666666667,6,46,NA,1,0.24,0.24,6.76,1.39,2.221333742,41.21692467,"L66-N16",18.5550347031104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.211,0.1302,0.0202,0.0603,3e-04,0.997701149425287,0.985365853658536,0.995049504950495,"No Oil Added ; Prev-Oiled Inoc.",1039
"L66-N17","S5_L66_N17",8.49,"S5","Leaf","2019-06-07","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","N17","Growing",74.8,4.67,11,66,NA,6,0.55,0.0916666666666667,8.16,1.55,1.467219591,42.36563301,"L66-N17",28.8747732581223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"L68-N16","S5_L68_N16",7.44,"S5","Leaf","2017-06-02","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","N16","Growing",79.248,4.44,6,47,NA,0,0,0,6.82,2.36,1.57011646,40.24379349,"L68-N16",25.6310882123992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.161,0.0402,0.0102,0.1103,3e-04,0.992592592592593,0.971428571428571,0.997287522603978,"No Oil Added ; Prev-Oiled Inoc.",1039
"L68-N17","S5_L68_N17",6.24,"S5","Leaf","2019-06-07","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","N17","Growing",55.75,3.96,8,72,NA,0,0,0,7.12,1.96,1.455285609,42.22913551,"L68-N17",29.0177647939622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"L69-J17","S5_L69_J17",7.56,"S5","Leaf","2019-01-29","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","J17","Non-Growing",73.475,5.251,7,49,NA,NA,NA,NA,7.19,3.12,1.399587035,42.64426422,"L69-J17",30.4691763738723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"L69-N16","S5_L69_N16",2.41,"S5","Leaf","2017-06-02","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","N16","Growing",103.632,5.57333333333333,8,28,NA,16,9.5,0.59375,6.94,5.5,1.796991467,42.43664551,"L69-N16",23.6153850974296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.9111,0.8303,0.0102,0.0703,3e-04,0.999638815314231,0.971428571428571,0.995750708215298,"Oil Added ; Prev-Oiled Inoc.",1039
"L69-N17","S5_L69_N17",6.01,"S5","Leaf","2019-06-07","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","N17","Growing",96,4.73,14,37,NA,9,2.68,0.297777777777778,7.03,2.82,1.440168202,43.59024239,"L69-N17",30.2674662094782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"L8-J17","S5_L08_J17",4.53,"S5","Leaf","2019-01-09","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","J17","Non-Growing",72.35,6.074,6,54,NA,NA,NA,NA,6.94,3.51,1.063986838,41.25092125,"L8-J17",38.7701424272694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Not Prev-Oiled Inoc",1039
