"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"S19-N17","S5_S19_N17",5.6,"S5","Soil","2018-11-14","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","N17","Growing",60.85,3.71,11,68,NA,1,0.08,0.08,7.16,1.93,NA,NA,"S19-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.1811,0.1603,0.0201,4e-04,3e-04,0.99813200498132,0.985294117647059,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S21-J17","S5_S21_J17",4.79,"S5","Soil","2018-11-06","Exp. Sample","21","N","Not Prev-Oiled Inoc","No Oil Added","2","3","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.3,0.93,NA,NA,"S21-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.901,0.1203,3e-04,4e-04,0.78,0.133622125958014,0.000384467512495194,0.000512557662737058,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S21-J18","S5_S21_J18",6.46,"S5","Soil","2018-11-19","Exp. Sample","21","N","Not Prev-Oiled Inoc","No Oil Added","2","3","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.56,0.61,NA,NA,"S21-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.1412,0.1303,0.0102,4e-04,3e-04,0.99770290964778,0.971428571428571,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S21-N16","S5_S21_N16",6.44,"S5","Soil","2018-10-24","Exp. Sample","21","N","Not Prev-Oiled Inoc","No Oil Added","2","3","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.21,1.86,NA,NA,"S21-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.0312,0.0103,0.0202,4e-04,3e-04,0.971698113207547,0.985365853658536,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S21-N17","S5_S21_N17",7.6,"S5","Soil","2018-11-14","Exp. Sample","21","N","Not Prev-Oiled Inoc","No Oil Added","2","3","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.38,1.18,NA,NA,"S21-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.1313,0.1303,3e-04,4e-04,3e-04,0.99770290964778,0.5,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S22-J17","S5_S22_J17",5.42,"S5","Soil","2018-11-06","Exp. Sample","22","N","Not Prev-Oiled Inoc","Oil Added","3","3","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.43,0.88,NA,NA,"S22-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31,138.4101,39.16,19.7001,74.64,4.91,0.888586339913774,0.800488417357101,0.938277812696417,"Oil Added ; Not Prev-Oiled Inoc",1039
"S22-J18","S5_S22_J18",5.15,"S5","Soil","2018-11-19","Exp. Sample","22","N","Not Prev-Oiled Inoc","Oil Added","3","3","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.52,0.6,NA,NA,"S22-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,126.58,28.17,23.48,69.49,5.44,0.838143409699494,0.811894882434302,0.927398905645269,"Oil Added ; Not Prev-Oiled Inoc",1039
"S22-N16","S5_S22_N16",6.75,"S5","Soil","2018-10-24","Exp. Sample","22","N","Not Prev-Oiled Inoc","Oil Added","3","3","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.3,1.62,NA,NA,"S22-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,391.05,66.17,43.44,257.69,23.75,0.735876334519573,0.646524780473285,0.915612563956794,"Oil Added ; Not Prev-Oiled Inoc",1039
"S22-N17","S5_S22_N17",6.11,"S5","Soil","2018-11-14","Exp. Sample","22","N","Not Prev-Oiled Inoc","Oil Added","3","3","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.89,1.34,NA,NA,"S22-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,206.0505,75.2,6.4802,124.37,3e-04,0.999996010654213,0.999953707275673,0.999997587848546,"Oil Added ; Not Prev-Oiled Inoc",1039
"S23-J17","S5_S23_J17",5.18,"S5","Soil","2018-11-06","Exp. Sample","23","N","Not Prev-Oiled Inoc","Oil Added","2","4","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.06,1.01,NA,NA,"S23-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.97,513.76,158.03,93.4,248.99,13.34,0.922156736885102,0.875023421397789,0.949148019669881,"Oil Added ; Not Prev-Oiled Inoc",1039
"S23-J18","S5_S23_J18",5.75,"S5","Soil","2018-11-19","Exp. Sample","23","N","Not Prev-Oiled Inoc","Oil Added","2","4","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.23,0.65,NA,NA,"S23-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,109.1403,33.61,15.6101,58.59,1.3302,0.961929239099948,0.921477187535049,0.97780047463126,"Oil Added ; Not Prev-Oiled Inoc",1039
"S23-N16","S5_S23_N16",5.68,"S5","Soil","2018-10-24","Exp. Sample","23","N","Not Prev-Oiled Inoc","Oil Added","2","4","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.08,1.92,NA,NA,"S23-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,607.85,100.02,74.24,398.35,35.24,0.739464734585243,0.67811472415053,0.91872506284739,"Oil Added ; Not Prev-Oiled Inoc",1039
"S23-N17","S5_S23_N17",6.53,"S5","Soil","2018-11-14","Exp. Sample","23","N","Not Prev-Oiled Inoc","Oil Added","2","4","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.02,1.47,NA,NA,"S23-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,96.7306,37.2,3.3902,56.1401,3e-04,0.999991935548907,0.999911517475299,0.999994656254676,"Oil Added ; Not Prev-Oiled Inoc",1039
"S27-J17","S5_S27_J17",6.21,"S5","Soil","2018-11-06","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","J17","Non-Growing",80.9,5.403,6,59,NA,NA,NA,NA,7.09,3.34,NA,NA,"S27-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.34,593.23,172.37,109.54,291.78,19.54,0.898181439216299,0.848621010226216,0.937234999357574,"Oil Added ; Not Prev-Oiled Inoc",1039
"S27-J18","S5_S27_J18",6.07,"S5","Soil","2018-11-19","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","J18","Non-Growing",60.25,4.575,5,82,37,NA,NA,NA,7.42,1.01,NA,NA,"S27-J18",NA,NA,NA,NA,116.61,21.87,390.99,120,208.85,649.47,0.321569895453216,1.03,1.2908,0.1203,0.2701,0.9001,3e-04,0.997512437810945,0.998890532544379,0.999666814749,"Oil Added ; Not Prev-Oiled Inoc",1039
"S27-N16","S5_S27_N16",9.33,"S5","Soil","2018-10-24","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","N16","Growing",108.204,4.77333333333333,6,30,NA,15,6.46,0.430666666666667,6.84,2.13,NA,NA,"S27-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,649.59,102.98,73.28,438.05,35.28,0.744828583827571,0.675018422991894,0.925464263832844,"Oil Added ; Not Prev-Oiled Inoc",1039
"S27-N17","S5_S27_N17",6.65,"S5","Soil","2018-11-14","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","N17","Growing",112.9,5.295,12,64,NA,17,2.8,0.164705882352941,7.97,2.06,NA,NA,"S27-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55,51.2503,12.54,8.8401,24.9001,4.9701,0.716158103037675,0.640113828909067,0.833610086306754,"Oil Added ; Not Prev-Oiled Inoc",1039
"S29-J17","S5_S29_J17",6.26,"S5","Soil","2018-11-06","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","J17","Non-Growing",64.9,4.386,7,84,NA,NA,NA,NA,7.83,1.4,NA,NA,"S29-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.91,318.08,75.17,64.09,162.63,16.19,0.822788966725044,0.798330842052815,0.909462028855833,"Oil Added ; Not Prev-Oiled Inoc",1039
"S29-J18","S5_S29_J18",0.864,"S5","Soil","2018-11-19","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","J18","Non-Growing",45.815,3.345,3,98,24,NA,NA,NA,7.56,0.65,NA,NA,"S29-J18",NA,NA,NA,NA,137.46,12.47,160.26,64.19,116.4,374.38,0.310914044553662,0.14,0.3812,0.1303,3e-04,4e-04,0.2502,0.342444152431012,0.00119760479041916,0.00159616919393456,"Oil Added ; Not Prev-Oiled Inoc",1039
"S29-N16","S5_S29_N16",5.95,"S5","Soil","2018-10-24","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","N16","Growing",88.9,4.97333333333333,6,33,NA,14,9.44,0.674285714285714,6.95,2.62,NA,NA,"S29-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,455.08,76.04,62.78,288.99,27.27,0.736037169683477,0.697168239866741,0.913773477518497,"Oil Added ; Not Prev-Oiled Inoc",1039
"S29-N17","S5_S29_N17",4.88,"S5","Soil","2018-11-14","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","N17","Growing",79.75,3.73,11,74,NA,13,2.28,0.175384615384615,7.39,2.5,NA,NA,"S29-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,2.1507,0.1103,0.0601,1.0102,0.9701,0.102091817845243,0.0583381867598525,0.510124728576478,"Oil Added ; Not Prev-Oiled Inoc",1039
"S30-J17","S5_S30_J17",4.47,"S5","Soil","2018-11-06","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","J17","Non-Growing",74.425,4.7325,6,90,NA,NA,NA,NA,7.22,3.21,NA,NA,"S30-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,1.3805,0.1502,0.3,0.1403,0.79,0.15975324399064,0.275229357798165,0.150811566161453,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S30-J18","S5_S30_J18",5.29,"S5","Soil","2018-11-19","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","J18","Non-Growing",47.81,4.465,3,92,7,NA,NA,NA,7.19,0.83,NA,NA,"S30-J18",NA,NA,NA,NA,159.39,0.699999999999996,372.5,16.9,137.41,549.49,0.250068245100002,0.88,2.7405,0.1103,0.0301,1.3401,1.26,0.080493322630081,0.0233315246880087,0.515403253721011,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S30-N16","S5_S30_N16",6.56,"S5","Soil","2018-10-24","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","N16","Growing",132.08,4.49333333333333,7,48,NA,16,6.67,0.416875,6.88,2.06,NA,NA,"S30-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0412,0.0203,0.0202,4e-04,3e-04,0.985436893203883,0.985365853658536,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S30-N17","S5_S30_N17",6.23,"S5","Soil","2018-11-14","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","N17","Growing",81.1,4.005,13,73,NA,7,0.7,0.1,7.58,2.01,NA,NA,"S30-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.1213,0.1203,3e-04,4e-04,3e-04,0.997512437810945,0.5,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S31-J17","S5_S31_J17",6.68,"S5","Soil","2018-11-06","Exp. Sample","31","N","Not Prev-Oiled Inoc","No Oil Added","4","4","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.45,0.87,NA,NA,"S31-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,3.4304,0.1603,0.21,2.2601,0.8,0.166927001978548,0.207920792079208,0.73857063494657,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S31-J18","S5_S31_J18",9.18,"S5","Soil","2018-11-27","Exp. Sample","31","N","Not Prev-Oiled Inoc","No Oil Added","4","4","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,9.38,0.42,NA,NA,"S31-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,1.8157,0.1203,1.0351,0.0303,0.63,0.160335865653739,0.621644345684944,0.0458882326215357,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S31-N16","S5_S31_N16",4.99,"S5","Soil","2018-10-24","Exp. Sample","31","N","Not Prev-Oiled Inoc","No Oil Added","4","4","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.25,1.6,NA,NA,"S31-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.5609,0.0302,0.0802,0.4502,3e-04,0.990163934426229,0.996273291925466,0.999334073251942,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S31-N17","S5_S31_N17",5.62,"S5","Soil","2018-11-14","Exp. Sample","31","N","Not Prev-Oiled Inoc","No Oil Added","4","4","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,9.16,1.45,NA,NA,"S31-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,2.4406,0.2302,0.0601,1.8901,0.2602,0.469412724306688,0.187636590696222,0.878993628795982,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S3-J17","S5_S03_J17",6.4,"S5","Soil","2018-11-06","Exp. Sample","3","N","Not Prev-Oiled Inoc","No Oil Added","3","1","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.71,0.74,NA,NA,"S3-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1.2207,0.1003,0.0201,0.3203,0.78,0.113938430080654,0.0251218597675291,0.291102426610924,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S3-J18","S5_S03_J18",5.68,"S5","Soil","2018-11-19","Exp. Sample","3","N","Not Prev-Oiled Inoc","No Oil Added","3","1","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.28,0.6,NA,NA,"S3-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.7608,0.2201,0.0302,4e-04,0.5101,0.301424267324021,0.0558948732185823,0.000783545543584721,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S3-N16","S5_S03_N16",7.1,"S5","Soil","2017-10-10","Exp. Sample","3","N","Not Prev-Oiled Inoc","No Oil Added","3","1","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.3,1.12,NA,NA,"S3-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.411,0.0103,0.0102,1.3902,3e-04,0.971698113207547,0.971428571428571,0.999784250269687,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S3-N17","S5_S03_N17",5.13,"S5","Soil","2018-11-14","Exp. Sample","3","N","Not Prev-Oiled Inoc","No Oil Added","3","1","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,9,1.43,NA,NA,"S3-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.6608,0.1103,0.1101,0.1802,0.2602,0.297705802968961,0.297326492033486,0.409173478655768,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S42-J17","S5_S42_J17",1.82,"S5","Soil","2018-11-19","Exp. Sample","42","N","Prev-Oiled Inoc.","Oil Added","2","1","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.11,1.26,NA,NA,"S42-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"S42-J18","S5_S42_J18",4.8,"S5","Soil","2018-11-27","Exp. Sample","42","N","Prev-Oiled Inoc.","Oil Added","2","1","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.68,0.5,NA,NA,"S42-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.807,2.0287,0.1433,0.1301,0.0653,1.69,0.0781650575465008,0.0714795890335696,0.0372016179570444,"Oil Added ; Prev-Oiled Inoc.",1039
"S42-N16","S5_S42_N16",6.15,"S5","Soil","2018-10-24","Exp. Sample","42","N","Prev-Oiled Inoc.","Oil Added","2","1","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.12,2.44,NA,NA,"S42-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68,2697.11,300.17,284.74,1991.96,120.24,0.713993482552746,0.703096449207368,0.943073572578354,"Oil Added ; Prev-Oiled Inoc.",1039
"S42-N17","S5_S42_N17",5.01,"S5","Soil","2018-11-06","Exp. Sample","42","N","Prev-Oiled Inoc.","Oil Added","2","1","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.95,1.68,NA,NA,"S42-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.15,208.0201,66.5,28.8901,102.27,10.36,0.865209471766849,0.736051627893942,0.908017402113114,"Oil Added ; Prev-Oiled Inoc.",1039
"S44-J17","S5_S44_J17",4.07,"S5","Soil","2018-11-19","Exp. Sample","44","N","Prev-Oiled Inoc.","No Oil Added","4","1","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.42,0.98,NA,NA,"S44-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"S44-J18","S5_S44_J18",5.27,"S5","Soil","2018-11-14","Exp. Sample","44","N","Prev-Oiled Inoc.","No Oil Added","4","1","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.83,0.56,NA,NA,"S44-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,1.7808,0.1103,0.0102,0.0903,1.57,0.0656430399333452,0.00645487912922415,0.0543877612479672,"No Oil Added ; Prev-Oiled Inoc.",1039
"S44-N16","S5_S44_N16",5.68,"S5","Soil","2018-10-24","Exp. Sample","44","N","Prev-Oiled Inoc.","No Oil Added","4","1","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.12,1.35,NA,NA,"S44-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,4.3702,0.1901,0.3601,2.45,1.37,0.121851163386962,0.208138257904167,0.641361256544503,"No Oil Added ; Prev-Oiled Inoc.",1039
"S44-N17","S5_S44_N17",5.6,"S5","Soil","2018-11-06","Exp. Sample","44","N","Prev-Oiled Inoc.","No Oil Added","4","1","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.15,1.49,NA,NA,"S44-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,11.8102,0.6201,2.0301,6.14,3.02,0.170352462844427,0.401992039761589,0.670305676855895,"No Oil Added ; Prev-Oiled Inoc.",1039
"S47-J17","S5_S47_J17",5.86,"S5","Soil","2018-11-19","Exp. Sample","47","Y","Prev-Oiled Inoc.","Oil Added","2","1","J17","Non-Growing",58.425,4.732,5,59,NA,NA,NA,NA,7.12,3.31,NA,NA,"S47-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,11.1402,0.7302,2.2,5.18,3.03,0.194191798308601,0.420650095602294,0.630937880633374,"Oil Added ; Prev-Oiled Inoc.",1039
"S47-J18","S5_S47_J18",4.68,"S5","Soil","2018-11-14","Exp. Sample","47","Y","Prev-Oiled Inoc.","Oil Added","2","1","J18","Non-Growing",50.935,3.6,4,93,68,NA,NA,NA,6.69,0.65,NA,NA,"S47-J18",NA,NA,NA,NA,96.61,32.96,324.96,119.87,156.2,574.4,0.271935933147632,2.79,6.5104,0.1103,0.2601,3.69,2.45,0.0430808889583252,0.095974318290838,0.600977198697068,"Oil Added ; Prev-Oiled Inoc.",1039
"S47-N16","S5_S47_N16",4.43,"S5","Soil","2018-10-24","Exp. Sample","47","Y","Prev-Oiled Inoc.","Oil Added","2","1","N16","Growing",62.992,5.1,6,36,NA,10,2.04,0.204,6.6,6.2,NA,NA,"S47-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,673.5,89.91,75.06,466.77,41.76,0.682843472317157,0.642526964560863,0.917880950976344,"Oil Added ; Prev-Oiled Inoc.",1039
"S47-N17","S5_S47_N17",6.37,"S5","Soil","2018-11-06","Exp. Sample","47","Y","Prev-Oiled Inoc.","Oil Added","2","1","N17","Growing",70.45,4.68,11,84,NA,0,0,0,7.92,1.86,NA,NA,"S47-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,11.1606,0.2402,2.0101,7.5101,1.4002,0.146427700560839,0.589420285605372,0.842856020560475,"Oil Added ; Prev-Oiled Inoc.",1039
"S49-J17","S5_S49_J17",8.61,"S5","Soil","2018-11-19","Exp. Sample","49","Y","Prev-Oiled Inoc.","No Oil Added","3","1","J17","Non-Growing",54.725,3.67578947368421,6,85,NA,NA,NA,NA,7.09,3.11,NA,NA,"S49-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,4.8103,0.2802,0.98,1.8601,1.69,0.142219064054411,0.367041198501873,0.523957071631785,"No Oil Added ; Prev-Oiled Inoc.",1039
"S49-J18","S5_S49_J18",6.26,"S5","Soil","2018-11-14","Exp. Sample","49","Y","Prev-Oiled Inoc.","No Oil Added","3","1","J18","Non-Growing",52.275,3.185,5,102,11,NA,NA,NA,7.05,0.61,NA,NA,"S49-J18",NA,NA,NA,NA,144.26,4.39,255.99,20,162.26,424.64,0.382111906556142,2.09,1.6307,0.1103,0.0201,0.0203,1.48,0.0693579827705464,0.0133991067262183,0.0135306272078918,"No Oil Added ; Prev-Oiled Inoc.",1039
"S49-N16","S5_S49_N16",8.96,"S5","Soil","2018-10-24","Exp. Sample","49","Y","Prev-Oiled Inoc.","No Oil Added","3","1","N16","Growing",89.916,4.97333333333333,7,38,NA,33,15.59,0.472424242424242,6.94,1.96,NA,NA,"S49-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,4.0601,0.28,0.2401,1.68,1.86,0.130841121495327,0.114327889148136,0.474576271186441,"No Oil Added ; Prev-Oiled Inoc.",1039
"S49-N17","S5_S49_N17",7.13,"S5","Soil","2018-11-06","Exp. Sample","49","Y","Prev-Oiled Inoc.","No Oil Added","3","1","N17","Growing",84.225,3.705,11,73,NA,37,5.42,0.146486486486486,6.94,2.16,NA,NA,"S49-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,4.2507,0.1203,0.8401,2.3801,0.9102,0.116739446870451,0.479974861452322,0.723368689785126,"No Oil Added ; Prev-Oiled Inoc.",1039
"S4-J17","S5_S04_J17",5.09,"S5","Soil","2018-11-06","Exp. Sample","4","N","Not Prev-Oiled Inoc","Oil Added","4","1","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,9.1,1.22,NA,NA,"S4-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,273.83,80.36,50.35,131.92,11.2,0.877675840978593,0.818034118602762,0.921743991056456,"Oil Added ; Not Prev-Oiled Inoc",1039
"S4-J18","S5_S04_J18",4.92,"S5","Soil","2018-11-19","Exp. Sample","4","N","Not Prev-Oiled Inoc","Oil Added","4","1","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.96,NA,NA,"S4-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,62.9504,16.72,9.6301,36.6,3e-04,0.999982057738198,0.999968848645955,0.999991803345874,"Oil Added ; Not Prev-Oiled Inoc",1039
"S4-N16","S5_S04_N16",6.44,"S5","Soil","2018-10-24","Exp. Sample","4","N","Not Prev-Oiled Inoc","Oil Added","4","1","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.43,1.61,NA,NA,"S4-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,185.5,26.62,22.05,125.19,11.64,0.695765812859383,0.654496883348174,0.914930936198202,"Oil Added ; Not Prev-Oiled Inoc",1039
"S4-N17","S5_S04_N17",4.64,"S5","Soil","2018-11-14","Exp. Sample","4","N","Not Prev-Oiled Inoc","Oil Added","4","1","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,9.28,1.54,NA,NA,"S4-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,53.3406,19.18,1.5402,32.6201,3e-04,0.999984358951633,0.999805258033106,0.999990803301002,"Oil Added ; Not Prev-Oiled Inoc",1039
"S60-J17","S5_S60_J17",6.91,"S5","Soil","2018-11-19","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","J17","Non-Growing",70.225,4.8625,6,74,NA,NA,NA,NA,7.28,1.92,NA,NA,"S60-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,9.8501,1.5301,1.93,4.49,1.9,0.446080289204396,0.503916449086162,0.702660406885759,"Oil Added ; Prev-Oiled Inoc.",1039
"S60-J18","S5_S60_J18",6.91,"S5","Soil","2018-11-14","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","J18","Non-Growing",56.015,4.145,3,83,62,NA,NA,NA,7.17,0.76,NA,NA,"S60-J18",NA,NA,NA,NA,110,44.39,232.55,166.55,140.31,553.49,0.253500514914452,1e-04,294.5207,55.1402,23.1201,216.2601,3e-04,0.999994559352926,0.999987024445944,0.999998612783478,"Oil Added ; Prev-Oiled Inoc.",1039
"S60-N16","S5_S60_N16",9.37,"S5","Soil","2018-10-24","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","N16","Growing",122.428,5.30666666666667,8,24,NA,14,8,0.571428571428571,7.04,3.63,NA,NA,"S60-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,539.26,75.32,57.6,374.6,31.74,0.703530730431534,0.644728005372733,0.921888074026677,"Oil Added ; Prev-Oiled Inoc.",1039
"S60-N17","S5_S60_N17",7.58,"S5","Soil","2018-11-06","Exp. Sample","60","Y","Prev-Oiled Inoc.","Oil Added","3","3","N17","Growing",78.05,5.505,9,71,NA,4,1.1,0.275,7.02,2.16,NA,NA,"S60-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,7.5804,0.1502,1.3201,4.1501,1.96,0.071178087385082,0.402457242157251,0.679219652706175,"Oil Added ; Prev-Oiled Inoc.",1039
